question_id,report_id,turn_index,gold_turn_type,correct,pred_answer,gold_answer,band,p_correct,reason,checks,error,latency_ms,input_tokens,output_tokens,cost_usd
Single_AMT/2002/page_104.pdf-2_q0,Single_AMT/2002/page_104.pdf-2,0,Program,True,399758,399758,high,0.99,"All six checks pass. Operands correctly sourced and located; 2003 identification sound (first year of ""next five years"" from Feb 2003 amendment); arithmetic verified against calculator trajectory (268,496 + 131,262 = 399,758); total cross-check reconciles. Answer properly expressed at source scale (thousands).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,46532,10,4499,0.0405962
Single_AMT/2002/page_104.pdf-2_q1,Single_AMT/2002/page_104.pdf-2,1,Program,True,594840,594840,high,0.98,"All six checks pass. Both operands (prior total 399758 and 2005 value 195082) are correctly sourced; the program properly extends the prior sum to include 2005; arithmetic is verified via calculator trajectory (399758 + 195082 = 594840); and unit/scale remain consistent with the source document (thousands). The current question's ""including 2005"" is correctly interpreted as extending the prior two-year sum to a three-year total.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,29751,10,2974,0.0327972
Single_AMT/2008/page_34.pdf-1_q0,Single_AMT/2008/page_34.pdf-1,0,Program,True,-3.19,-3.19,high,0.995,"All six checks pass. Operands exactly match cited table cells (30.51 Oct, 27.32 Dec). Program correctly computes change from earlier to later month as Dec − Oct. Arithmetic verified: 27.32 − 30.51 = −3.19. Units match source (change in dollars per share).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,31856,10,3103,0.0334622
Single_AMT/2008/page_34.pdf-1_q1,Single_AMT/2008/page_34.pdf-1,1,Program,True,-10.5%,-10.5%,high,0.99,All six checks pass. Prior turn's net change (-3.19) correctly referenced and used as numerator; October base (30.51) correctly retrieved from table; percentage-change formula and scale both correct; arithmetic verified against calculator trajectory.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,24978,10,2342,0.029799199999999998
Double_HWM/2016/page_95.pdf_q0,Double_HWM/2016/page_95.pdf,0,Number,True,793.0,793,high,0.99,"All six checks pass. Direct table lookup of a single, clearly-labeled cell (793.0 for computer software under gross carrying amount as of Dec 31, 2015); period explicitly confirmed in pre_text; no arithmetic, references, or scaling issues.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,19860,10,2166,0.0285932
Double_HWM/2016/page_95.pdf_q1,Double_HWM/2016/page_95.pdf,1,Number,True,643.0,643,high,0.99,"All six checks verified. The value -643.0 is present in the table; period is Dec 31, 2015 (implicit from prior turn); sign convention (reporting accumulated amortization as positive magnitude 643.0) is transparent accounting practice and requires no calculator call for a pure lookup. Minor terminology discrepancy (question says ""depreciation,"" table shows ""amortization"" for intangible asset) correctly handled with no impact on answer correctness.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,65621,10,5937,0.0475542
Double_HWM/2016/page_95.pdf_q2,Double_HWM/2016/page_95.pdf,2,Program,False,793.0,1436,high,0.99,"All six checks pass. The trail correctly identifies 'original cost' as synonymous with 'gross carrying amount' (standard accounting terminology), correctly locates the value 793.0 in the source table for computer software, and preserves the correct period (2015 year-end) and scale. No arithmetic required; direct value reference from prior verified retrieval.""","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,38725,10,3482,0.0353252
Single_AON/2014/page_47.pdf-3_q0,Single_AON/2014/page_47.pdf-3,0,Number,False,318.0,1.6,high,0.99,"Straightforward table lookup: 318.0 directly present in 2013 operating income cell, no arithmetic, no prior references, period exact.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,18346,10,1632,0.0254732
Double_IP/2018/page_83.pdf_q0,Double_IP/2018/page_83.pdf,0,Program,True,32,32,high,0.99,All six checks pass. Both operands correctly retrieved from table with appropriate sign/magnitude handling; periods align with question scope; operation (subtract) correctly computes ending-minus-beginning for the interval; calculator output verified; answer in millions as documented. The $32 million increase in unrecognized tax benefits from 2017 to 2018 is well-sourced and arithmetically sound.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,28558,10,2703,0.0261112
Double_IP/2018/page_83.pdf_q1,Double_IP/2018/page_83.pdf,1,Number,True,188,188,high,0.93,"All operands correctly located and retrieved from 2017 balance sheet row; period, scale, and sign handling (financial liability reported as positive magnitude) all appropriate; no arithmetic needed for simple lookup.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,112845,10,10224,0.0631922
